time_h,generated_pw_kw,consumed_pw_kw,excess_pw_kw,battery_SoC
0,61.1994,30,31.1994,0.195
1,61.1942,30,31.1942,0.29
2,61.1955,30,31.1955,0.385
3,61.1996,30,31.1996,0.48
4,61.2141,30,31.2141,0.575
5,61.1883,30,31.1883,0.67
6,61.2043,30,31.2043,0.765
7,61.185,30,31.185,0.86
8,61.1879,30,31.1879,0.955
9,61.1967,30,31.1967,0.9978
10,61.1878,30,31.1878,0.9999
11,61.2032,30,31.2032,1.0
12,61.1864,30,31.1864,1.0
13,61.1946,30,31.1946,1.0
14,61.2053,30,31.2053,1.0
15,61.2002,30,31.2002,1.0
16,61.1983,30,31.1983,1.0
17,61.1958,30,31.1958,1.0
18,61.2038,30,31.2038,1.0
19,61.1862,30,31.1862,1.0
20,61.1868,30,31.1868,1.0
21,61.2021,30,31.2021,1.0
22,61.2045,30,31.2045,1.0
23,61.2016,30,31.2016,1.0
